Year,Budget Series,Ministry,Department,Activity,Units,Value
2016,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),1.480932
2016,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),43.032677
2016,Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),74.302816
2016,Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),2.927019
2016,Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),13.334612
2016,Budget,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),,Value in Millions (VT),3.735187
2016,Budget,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),4.072957
2016,Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),,Value in Millions (VT),233.8407
2016,Budget,Prime Ministers Ministry,Parliamentary Secretariat,,Value in Millions (VT),10
2016,Budget,Prime Ministers Ministry,PMO Corporate Service Unit,,Value in Millions (VT),23.757442
2016,Budget,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),60.240244
2016,Budget,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),,Value in Millions (VT),7.703883
2017,Actual,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),9.340822
2017,Actual,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),0.076968
2017,Actual,Constitutional Agencies,Judiciary,,Value in Millions (VT),68.973166
2017,Actual,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),28.446502
2017,Actual,Constitutional Agencies,National Audit Office,,Value in Millions (VT),16.979342
2017,Actual,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),12.477463
2017,Actual,Constitutional Agencies,Parliament,,Value in Millions (VT),473.501031
2017,Actual,Constitutional Agencies,President of the Republic,,Value in Millions (VT),15.657054
2017,Actual,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),41.461258
2017,Actual,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),79.079496
2017,Actual,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),17.233092
2017,Actual,Constitutional Agencies,State Law Office,,Value in Millions (VT),21.467128
2017,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),66.002866
2017,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),60.77954
2017,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),29.7959
2017,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),70.851614
2017,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),9.273332
2017,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,,Value in Millions (VT),77.196826
2017,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",,Value in Millions (VT),3.552971
2017,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),12.015485
2017,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),8.133339
2017,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,,Value in Millions (VT),101.16504
2017,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),8.147164
2017,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),18.079302
2017,Actual,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),6.263617
2017,Actual,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),33.229315
2017,Actual,Ministry of Education & Training,Education Service Directorate,,Value in Millions (VT),690.18263
2017,Actual,Ministry of Education & Training,Finance & Administration Directorate,,Value in Millions (VT),119.344102
2017,Actual,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),7.235704
2017,Actual,Ministry of Education & Training,Policy & Planning Directorate,,Value in Millions (VT),6.390559
2017,Actual,Ministry of Education & Training,Tertiary Education Directorate,,Value in Millions (VT),84.123174
2017,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),207.188942
2017,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),6893.486153
2017,Actual,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),15.716036
2017,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),77.227397
2017,Actual,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),24.822875
2017,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),21.8595
2017,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),239.761462
2017,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),26.38957
2017,Actual,Ministry of Health,Department of Health,,Value in Millions (VT),749.480653
2017,Actual,Ministry of Health,Health Cabinet,,Value in Millions (VT),32.473988
2017,Actual,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),40.364228
2017,Actual,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),118.368372
2017,Actual,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),918.48579
2017,Actual,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),97.053735
2017,Actual,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),1.070449
2017,Actual,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),37.593671
2017,Actual,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),11.16714
2017,Actual,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),249.753405
2017,Actual,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),79.328181
2017,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),46.927412
2017,Actual,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),1.093066
2017,Actual,Ministry of Internal Affairs,Vanuatu Mobile Force,,Value in Millions (VT),13.786896
2017,Actual,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),84.303937
2017,Actual,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),67.768461
2017,Actual,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),12.939278
2017,Actual,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),7.682446
2017,Actual,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),19.812645
2017,Actual,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),11.151497
2017,Actual,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),5.798047
2017,Actual,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),2.687209
2017,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),30.095502
2017,Actual,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),58.691707
2017,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),3.4778
2017,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),5.041189
2017,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),17.280873
2017,Actual,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),2.795599
2017,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),26.570927
2017,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),17.827231
2017,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),39.397141
2017,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),5.103533
2017,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),50.560536
2017,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),444.155341
2017,Actual,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),8.318289
2017,Actual,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),18.369336
2017,Actual,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),,Value in Millions (VT),1.653696
2017,Actual,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),3.863086
2017,Actual,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),,Value in Millions (VT),256.395542
2017,Actual,Prime Ministers Ministry,Parliamentary Secretariat,,Value in Millions (VT),38.127321
2017,Actual,Prime Ministers Ministry,PMO Corporate Service Unit,,Value in Millions (VT),19.782603
2017,Actual,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),50.191855
2017,Actual,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),,Value in Millions (VT),9.649684
2017,Budget,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),3.168894
2017,Budget,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),1.86683
2017,Budget,Constitutional Agencies,Judiciary,,Value in Millions (VT),73.782614
2017,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),29.423706
2017,Budget,Constitutional Agencies,National Audit Office,,Value in Millions (VT),10.712312
2017,Budget,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),6.626551
2017,Budget,Constitutional Agencies,Parliament,,Value in Millions (VT),462.771055
2017,Budget,Constitutional Agencies,President of the Republic,,Value in Millions (VT),13.625375
2017,Budget,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),20.281774
2017,Budget,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),87.969027
2017,Budget,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),17.531962
2017,Budget,Constitutional Agencies,State Law Office,,Value in Millions (VT),14.740281
2017,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),25.745714
2017,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),59.308791
2017,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),21.660527
2017,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),29.542504
2017,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),11.340142
2017,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,,Value in Millions (VT),45.154542
2017,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",,Value in Millions (VT),4.790132
2017,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),12.115485
2017,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),8.207629
2017,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,,Value in Millions (VT),70.759806
2017,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),8.247164
