Year,Series,Ministry,Department,Value
2007,Actual Spent,Ministry of Internal Affairs,Internal Affairs Cabinet,132
2007,Actual Spent,Ministry of Internal Affairs,Vanuatu Police Force,617
2007,Actual Spent,Ministry of Justice and Social Welfare,Correctional Services,83
2007,Actual Spent,Ministry of Justice and Social Welfare,Department of Womens Affairs,34
2007,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,44
2007,Actual Spent,"Ministry of Lands, Mines & Water Resources",Corporate Services,118
2007,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,42
2007,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Records,10
2007,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,24
2007,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Lands,36
2007,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,35
2007,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,19
2007,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",50
2007,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,22
2007,Actual Spent,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,29
2007,Actual Spent,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,35
2007,Actual Spent,Prime Ministers Ministry,Language Services Department,25
2007,Actual Spent,Prime Ministers Ministry,Prime Ministers Cabinet,88
2008,Actual Spent,Constitutional Agencies,Citizenship Office,5
2008,Actual Spent,Constitutional Agencies,Judiciary,146
2008,Actual Spent,Constitutional Agencies,Malvatumauri Council of Chiefs,32
2008,Actual Spent,Constitutional Agencies,National Audit Office,26
2008,Actual Spent,Constitutional Agencies,Office of the Ombudsman,49
2008,Actual Spent,Constitutional Agencies,Parliament,574
2008,Actual Spent,Constitutional Agencies,President of the Republic,31
2008,Actual Spent,Constitutional Agencies,Public Prosecutor,30
2008,Actual Spent,Constitutional Agencies,Public Service Commission,98
2008,Actual Spent,Constitutional Agencies,Public Solicitor,33
2008,Actual Spent,Constitutional Agencies,State Law Office,71
2008,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",46
2008,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,86
2008,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,98
2008,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,42
2008,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,61
2008,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,9
2008,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,7
2008,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,169
2008,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Cooperatives and Ni-Vanuatu Business Development Services,31
2008,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Ni-Vanuatu Business Development & Coops Cabinet,31
2008,Actual Spent,Ministry of Education & Training,Director General Directorate,3192
2008,Actual Spent,Ministry of Education & Training,MoE Cabinet,36
2008,Actual Spent,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,269
2008,Actual Spent,Ministry of Finance and Economic Management,Department of Finance & Treasury,2993
2008,Actual Spent,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,40
2008,Actual Spent,Ministry of Finance and Economic Management,MFEM Cabinet,82
2008,Actual Spent,Ministry of Finance and Economic Management,National Statistics Office,40
2008,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",127
2008,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,174
2008,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,39
2008,Actual Spent,Ministry of Health,Department of Health,1501
2008,Actual Spent,Ministry of Health,Health Cabinet,50
2008,Actual Spent,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,44
2008,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,141
2008,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Public Works,908
2008,Actual Spent,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,77
2008,Actual Spent,Ministry of Internal Affairs,Civil Registry Office,9
2008,Actual Spent,Ministry of Internal Affairs,Department of Immigration,67
2008,Actual Spent,Ministry of Internal Affairs,Department of Labour,39
2008,Actual Spent,Ministry of Internal Affairs,Department of Provincial Affairs,292
2008,Actual Spent,Ministry of Internal Affairs,Electoral Office,103
2008,Actual Spent,Ministry of Internal Affairs,Internal Affairs Cabinet,189
2008,Actual Spent,Ministry of Internal Affairs,Vanuatu Police Force,744
2008,Actual Spent,Ministry of Justice and Social Welfare,Correctional Services,105
2008,Actual Spent,Ministry of Justice and Social Welfare,Department of Womens Affairs,38
2008,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,49
2008,Actual Spent,"Ministry of Lands, Mines & Water Resources",Corporate Services,93
2008,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,44
2008,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Records,14
2008,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,26
2008,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Lands,93
2008,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,35
2008,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,18
2008,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",57
2008,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,26
2008,Actual Spent,Ministry of Youth Development and Sports,Department of Youth and Sport,48
2008,Actual Spent,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,32
2008,Actual Spent,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,42
2008,Actual Spent,Prime Ministers Ministry,Language Services Department,24
2008,Actual Spent,Prime Ministers Ministry,Prime Ministers Cabinet,96
2009,Actual Spent,Constitutional Agencies,Citizenship Office,4
2009,Actual Spent,Constitutional Agencies,Judicial Services Commission,1
2009,Actual Spent,Constitutional Agencies,Judiciary,179
2009,Actual Spent,Constitutional Agencies,Malvatumauri Council of Chiefs,39
2009,Actual Spent,Constitutional Agencies,National Audit Office,24
2009,Actual Spent,Constitutional Agencies,Office of the Ombudsman,50
2009,Actual Spent,Constitutional Agencies,Parliament,471
2009,Actual Spent,Constitutional Agencies,President of the Republic,50
2009,Actual Spent,Constitutional Agencies,Public Prosecutor,36
2009,Actual Spent,Constitutional Agencies,Public Service Commission,112
2009,Actual Spent,Constitutional Agencies,Public Solicitor,39
2009,Actual Spent,Constitutional Agencies,State Law Office,78
2009,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",51
2009,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,87
2009,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,105
2009,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,73
2009,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,69
2009,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,18
2009,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,9
2009,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,134
2009,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Cooperatives and Ni-Vanuatu Business Development Services,32
2009,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Ni-Vanuatu Business Development & Coops Cabinet,32
2009,Actual Spent,Ministry of Education & Training,Director General Directorate,3222
2009,Actual Spent,Ministry of Education & Training,MoE Cabinet,37
2009,Actual Spent,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,277
2009,Actual Spent,Ministry of Finance and Economic Management,Department of Finance & Treasury,2928
2009,Actual Spent,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,38
2009,Actual Spent,Ministry of Finance and Economic Management,MFEM Cabinet,76
2009,Actual Spent,Ministry of Finance and Economic Management,National Statistics Office,46
2009,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",29
2009,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,236
2009,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,40
2009,Actual Spent,Ministry of Health,Department of Health,1459
2009,Actual Spent,Ministry of Health,Health Cabinet,50
2009,Actual Spent,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,83
2009,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,110
2009,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Public Works,941
2009,Actual Spent,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,116
2009,Actual Spent,Ministry of Internal Affairs,Civil Registry Office,8
2009,Actual Spent,Ministry of Internal Affairs,Department of Immigration,103
2009,Actual Spent,Ministry of Internal Affairs,Department of Labour,59
2009,Actual Spent,Ministry of Internal Affairs,Department of Provincial Affairs,300
2009,Actual Spent,Ministry of Internal Affairs,Electoral Office,36
2009,Actual Spent,Ministry of Internal Affairs,Internal Affairs Cabinet,143
2009,Actual Spent,Ministry of Internal Affairs,Vanuatu Police Force,746
2009,Actual Spent,Ministry of Justice and Social Welfare,Correctional Services,131
2009,Actual Spent,Ministry of Justice and Social Welfare,Department of Womens Affairs,33
2009,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,6
2009,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,51
2009,Actual Spent,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,39
2009,Actual Spent,"Ministry of Lands, Mines & Water Resources",Corporate Services,105
2009,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,61
2009,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Records,14
2009,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,23
2009,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Lands,49
2009,Actual Spent,"Ministry of Lands, Mines & Water Resources",Valuer General,8
2009,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,91
2009,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,34
2009,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",42
2009,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,131
2009,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,26
2009,Actual Spent,Ministry of Youth Development and Sports,Department of Youth and Sport,75
2009,Actual Spent,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,36
2009,Actual Spent,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,64
2009,Actual Spent,Prime Ministers Ministry,Language Services Department,29
2009,Actual Spent,Prime Ministers Ministry,Prime Ministers Cabinet,90
2010,Actual Spent,Constitutional Agencies,Citizenship Office,4
2010,Actual Spent,Constitutional Agencies,Judicial Services Commission,1
2010,Actual Spent,Constitutional Agencies,Judiciary,187
2010,Actual Spent,Constitutional Agencies,Malvatumauri Council of Chiefs,33
2010,Actual Spent,Constitutional Agencies,National Audit Office,25
2010,Actual Spent,Constitutional Agencies,Office of the Ombudsman,49
2010,Actual Spent,Constitutional Agencies,Parliament,480
2010,Actual Spent,Constitutional Agencies,President of the Republic,41
